City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esperance,AU,2021-11-08 05:39:16,-33.8667,121.9,67.84,60,100,17.36
68,Nikolskoye,RU,2021-11-08 05:41:05,59.7035,30.7861,37.87,97,100,13.49
69,Busselton,AU,2021-11-08 05:41:05,-33.65,115.3333,70.09,52,27,12.55
70,Nuuk,GL,2021-11-08 05:41:05,64.1835,-51.7216,21.81,73,0,6.91
71,Bluff,NZ,2021-11-08 05:41:06,-46.6,168.3333,57.56,80,94,11.59
72,Hilo,US,2021-11-08 05:41:06,19.7297,-155.09,74.93,89,90,3.44
73,Souillac,MU,2021-11-08 05:41:06,-20.5167,57.5167,81.36,73,75,12.66
74,Dingle,PH,2021-11-08 05:41:07,10.9995,122.6711,86.14,75,39,11.56
75,Airai,TL,2021-11-08 05:41:07,-8.9266,125.4092,69.93,80,94,0.96
76,Cabo San Lucas,MX,2021-11-08 05:41:07,22.8909,-109.9124,72.61,65,37,10.13
77,San Blas,MX,2021-11-08 05:41:07,21.5167,-105.2667,75.31,88,31,3.09
78,Vaini,TO,2021-11-08 05:41:08,-21.2,-175.2,77.16,100,90,2.3
79,Zuwarah,LY,2021-11-08 05:39:51,32.9312,12.082,69.57,71,84,6.78
80,Saskylakh,RU,2021-11-08 05:39:23,71.9167,114.0833,15.93,92,100,9.95
81,Domoni,KM,2021-11-08 05:41:08,-12.2569,44.5319,84.4,64,9,4.38
82,Ribeira Grande,PT,2021-11-08 05:41:09,38.5167,-28.7,69.12,85,66,21.45
83,Hermanus,ZA,2021-11-08 05:41:09,-34.4187,19.2345,63.9,70,36,4.29
84,Kysyl-Syr,RU,2021-11-08 05:41:09,63.8986,122.7617,24.13,95,100,7.96
85,Aranos,NA,2021-11-08 05:41:10,-24.1333,19.1167,66.52,18,56,17.78
86,Bukachacha,RU,2021-11-08 05:41:10,52.9833,116.9167,23.38,48,25,4.09
87,Drochia,MD,2021-11-08 05:39:04,48.035,27.8161,48.25,74,100,4.34
88,Ponta Delgada,PT,2021-11-08 05:41:10,37.7333,-25.6667,69.49,83,20,12.66
89,Moba,CN,2021-11-08 05:42:11,33.2288,105.0179,30.72,90,64,3.51
90,Port Elizabeth,ZA,2021-11-08 05:42:11,-33.918,25.5701,61.09,94,40,6.91
91,Yeniseysk,RU,2021-11-08 05:42:11,58.4497,92.1703,32.09,74,100,13.0
92,Svetlopolyansk,RU,2021-11-08 05:42:12,59.4184,52.3605,33.08,80,93,7.23
93,Halifax,CA,2021-11-08 05:40:55,44.6453,-63.5724,46.45,95,66,2.3
94,Karratha,AU,2021-11-08 05:42:12,-20.7377,116.8463,77.29,52,38,21.47
95,Yellowknife,CA,2021-11-08 05:42:12,62.456,-114.3525,24.42,100,90,6.91
96,Itarema,BR,2021-11-08 05:42:13,-2.9248,-39.9167,77.54,86,89,6.91
97,Avarua,CK,2021-11-08 05:42:13,-21.2078,-159.775,73.45,73,40,9.22
98,Bambous Virieux,MU,2021-11-08 05:42:13,-20.3428,57.7575,81.21,73,75,12.66
99,Diedorf,DE,2021-11-08 05:42:13,48.35,10.7667,43.72,97,90,2.3
100,Yulara,AU,2021-11-08 05:42:14,-25.2406,130.9889,75.04,64,90,10.36
101,Thompson,CA,2021-11-08 05:42:14,55.7435,-97.8558,33.96,86,90,3.44
102,Nara,JP,2021-11-08 05:40:15,34.6851,135.8049,74.44,48,97,13.78
103,Riberalta,BO,2021-11-08 05:42:14,-10.9833,-66.1,71.44,96,90,1.83
104,Cidreira,BR,2021-11-08 05:42:15,-30.1811,-50.2056,61.0,75,6,2.39
105,New Ulm,US,2021-11-08 05:41:25,44.3125,-94.4605,50.38,90,1,6.91
